power_station_name,daily_requirement,avg_stock_days,capacity_mw,eoq_thousand_tonne,cycle_days,reorder_needed
Mundra Tps-Iii,13.07,0.0,1980.0,32.335738742141025,2.4740427499725346,True
Salaya Tpp,7.92,0.0,1200.0,25.17141235608364,3.1782086308186415,True
Sikka Rep. Tps,3.3,0.0,500.0,16.24807680927192,4.92365963917331,True
Simhapuri Tps,3.96,0.0,600.0,17.798876369029593,4.494665749754947,True
Thamminapatnam Tps,1.98,0.0,300.0,12.58570617804182,6.356417261637283,True
Torangallu Tps(Sbu-I),1.7186206896551723,0.0,260.0,11.725598286331227,6.8226795807304494,True
Chhabra-I Ph-1 Tpp,5.17425,1.0125,500.0,20.345515476389384,3.932070440428929,True
Sasan Umtpp,53.08758620689655,1.793103448275862,3960.0,65.16906395331856,1.2275763245165687,True
Vedanta Tpp,6.188666666666667,2.933333333333333,600.0,22.25069287310697,3.5953936561090654,True
Tamnar Tpp,23.571130198915007,3.1998191681735983,2400.0,43.42453702589356,1.8422764059015047,True
Muthiara Tpp,7.92,3.206896551724138,1200.0,25.17141235608364,3.1782086308186415,True
Nigri Tpp,14.715172413793104,3.6206896551724137,1320.0,34.31054929760595,2.3316443961910593,True
Sgpl Tpp,8.71,3.6551724137931036,1320.0,26.39696952303427,3.0306509211290775,True
Chhabra Tpp,15.214288499025342,3.789473684210526,2214.1715399610134,34.88757773079162,2.2930798067242244,True
Sterlite Tpp,6.219253731343284,4.029850746268656,600.0,22.30561136816166,3.5865414616785407,True
