month,avg_stock_days,critical_units,stations
2018-11-01,8.075203252032521,49,122
2018-12-01,9.5429899302866,271,124
2019-01-01,12.21865889212828,107,125
2019-02-01,15.836919592298981,63,126
2019-03-01,19.75783619817998,31,127
2019-04-01,21.4265625,20,127
2019-05-01,20.64246231155779,30,128
2019-06-01,17.417051874678993,74,133
2019-07-01,16.555725190839695,68,130
2019-08-01,15.636407649479544,64,136
2019-09-01,13.329556898288017,26,132
2019-10-01,12.946024799416485,39,132
2019-11-01,16.05061728395062,52,134
2019-12-01,19.566547192353642,76,134
2020-01-01,21.212186379928315,69,134
2020-02-01,23.159897828863347,69,134
2020-03-01,27.699361430395914,48,134
2020-04-01,34.139309659796375,0,134
2020-05-01,34.68936678614098,4,134
2020-06-01,33.181975308641974,0,134
2020-07-01,28.037151702786378,0,135
2020-08-01,26.257115749525617,0,135
2020-09-01,23.00049019607843,0,135
2020-10-01,21.47575112372841,12,136
2020-11-01,22.71021897810219,0,136
2020-12-01,24.19825759359548,0,136
2021-01-01,21.814481779460483,0,136
2021-02-01,19.239758403361346,0,135
2021-03-01,18.09629981024668,0,136
2021-04-01,16.028676470588234,0,135
2021-05-01,16.496109408158453,0,136
2021-06-01,19.460193161054555,16,137
2021-07-01,15.300358422939068,0,134
2021-08-01,11.0138292799237,0,136
2021-09-01,5.770002446782481,1175,137
2021-10-01,4.5581119544592035,1097,136
2021-11-01,8.542630535360212,1053,163
2021-12-01,10.626278118609408,329,162
