month,solar_energy,wind_energy,other_renewable_energy,total_renewable_energy
2019-10-01,164.78,196.55,35.89,409.71000000000004
2019-11-01,3421.04,2419.2,931.17,6771.41
2019-12-01,3292.4900000000002,3366.12,1356.3,8014.91
2020-01-01,4192.9,3017.52,1474.26,8684.68
2020-02-01,312.44,269.3,93.22999999999999,674.97
2020-03-01,1000.64,624.19,217.39,1842.22
2020-04-01,4624.76,3186.61,1154.88,8966.25
2020-05-01,4930.42,5711.64,1116.27,11758.33
2020-06-01,3782.29,6616.65,857.3100000000001,11256.25
2020-07-01,4306.06,6489.83,986.33,11782.22
2020-08-01,3861.34,8883.28,1108.04,13852.66
2020-09-01,4065.83,4492.66,960.84,9519.33
2020-10-01,4470.09,3566.66,837.59,8874.34
2020-11-01,4212.29,3038.48,955.09,8205.86
2020-12-01,4506.13,3421.91,950.86,8878.9
2021-01-01,4570.7,3306.8,959.36,8836.86
2021-02-01,4780.32,2469.95,842.0,8092.27
2021-03-01,5039.24,2571.62,625.54,8236.4
2021-04-01,5729.7,3367.55,612.23,9709.48
2021-05-01,5351.59,6036.61,722.09,12110.28
2021-06-01,5016.18,8390.62,789.84,14196.64
2021-07-01,4676.13,10266.97,983.66,15926.76
2021-08-01,5220.79,8751.32,1075.74,15047.85
2021-09-01,4730.48,5974.31,911.48,11616.27
2021-10-01,6003.0,2952.84,921.67,9877.51
2021-11-01,4759.21,3152.79,874.84,8786.84
2021-12-01,5358.9,3435.83,894.22,9688.96
2022-01-01,6084.33,3315.42,873.11,10272.87
2022-02-01,6510.51,2898.25,924.04,10332.8
2022-03-01,7236.46,3843.08,1083.08,12162.62
2022-04-01,7072.1,3948.01,1033.97,12054.08
2022-05-01,8061.66,9787.34,1236.68,19085.68
2022-06-01,7937.11,9181.58,1479.11,18597.8
2022-07-01,6555.0599999999995,9839.81,1570.52,17965.39
2022-08-01,7051.8099999999995,8552.02,1715.69,17319.52
2022-09-01,7748.97,6252.44,1632.87,15634.28
2022-10-01,7994.18,3134.63,1096.8700000000001,12225.68
2022-11-01,7381.54,2440.37,941.61,10763.52
2022-12-01,7340.7,3845.67,869.63,12056.0
2023-01-01,8556.84,5037.25,819.11,14394.82
2023-02-01,8933.43,3208.78,755.12,12897.33
2023-03-01,9495.61,4165.44,763.24,14424.29
2023-04-01,9572.18,4287.87,752.4300000000001,14612.48
2023-05-01,9875.039999999999,7017.51,742.33,17634.88
2023-06-01,8880.97,11016.24,627.75,20524.96
2023-07-01,7843.13,12162.61,762.61,20768.35
2023-08-01,8934.36,12043.88,862.56,21840.8
2023-09-01,8402.82,8652.99,731.74,17787.54
2023-10-01,9427.76,3505.4,610.25,13543.41
2023-11-01,7329.85,3397.54,760.35,11487.74
2023-12-01,7987.26,4921.08,798.77,13707.11
2024-01-01,8281.7,3955.5,797.66,13034.86
2024-02-01,9741.75,4704.13,682.21,15128.09
2024-03-01,11556.66,4493.28,708.65,16758.59
2024-04-01,11329.23,4540.49,707.2,16576.92
2024-05-01,12014.8,7895.39,762.78,20672.97
2024-06-01,10760.28,10066.86,719.26,21546.4
2024-07-01,9702.97,13626.57,900.0600000000001,24232.3
2024-08-01,9382.69,9547.91,1015.85,19946.45
2024-09-01,10618.92,8588.63,1049.69,20257.62
2024-10-01,11179.75,2837.82,885.36,14902.93
2024-11-01,10289.98,2875.29,818.32,13983.59
2024-12-01,9997.18,5478.37,917.64,16393.19
2025-01-01,11841.01,5834.47,907.58,18086.67
2025-02-01,12403.85,4034.21,787.92,17225.98
2025-03-01,15264.85,4647.37,826.78,20739.0
2025-04-01,13429.28,5419.06,818.3,19666.64
